years,total,MURDER & NON-NEGL. MANSLAUGHTER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,,,,,,,,,,,,,
2000,184652,673,2068,32562,25924,38352,49631,35442,,,,,,,,,,,,,
2001,162908,649,1981,28202,23453,32763,46329,29531,,,,,,,,,,,,,
2002,154809,587,2144,27229,21147,31275,45771,26656,,,,,,,,,,,,,
2003,147069,597,2070,25989,19139,29110,46751,23413,,,,,,,,,,,,,
2004,142093,570,1905,24373,18622,26976,48763,20884,,,,,,,,,,,,,
2005,135475,539,1858,24722,17750,24117,48243,18246,,,,,,,,,,,,,
2006,128682,596,1525,23739,17309,23143,46625,15745,,,,,,,,,,,,,
2007,121009,496,1351,21809,17493,21762,44924,13174,,,,,,,,,,,,,
2008,117956,523,1299,22401,16284,20725,44242,12482,,,,,,,,,,,,,
2009,106730,471,1205,18601,16773,19430,39580,10670,,,,,,,,,,,,,
2010,105115,536,1373,19486,16956,18600,37835,10329,,,,,,,,,,,,,
2011,106669,515,1420,19717,18482,18720,38501,9314,,,,,,,,,,,,,
2012,111147,419,1445,20144,19381,19168,42497,8093,,,,,,,,,,,,,
2013,111335,335,1378,19128,20297,17429,45368,7400,,,,,,,,,,,,,
2014,106722,333,1352,16539,20207,16765,43862,7664,,,,,,,,,,,,,
2015,105453,352,1438,16931,20270,15125,44005,7332,,,,,,,,,,,,,
2016,101716,335,1438,15500,20847,12990,44279,6327,,,,,,,,,,,,,
2017,96658,292,1449,13956,20052,12083,43150,5676,,,,,,,,,,,,,
2018,95883,295,1794,12913,20208,11687,43558,5428,,,,,,,,,,,,,
2019,95606,319,1755,13371,20698,10783,43250,5430,,,,,,,,,,,,,
